YearMonth,Rain_mm,Rain_mm_1yr
2020-08-01,3.07911,23.832468333333335
2020-09-01,4.22511,26.317885000000004
2020-10-01,5.34931,26.027702500000004
2020-11-01,62.6977,25.67976416666667
2020-12-01,13.2639,25.496421666666667
2021-01-01,91.6206,24.78807416666667
2021-02-01,47.3606,24.761420833333336
2021-03-01,56.0108,24.5335425
2021-04-01,5.55696,24.326703333333338
2021-05-01,5.21904,19.612044166666667
2021-06-01,1.52023,28.92421916666667
2021-07-01,1.55353,21.689291666666673
2021-08-01,2.75927,18.072491666666668
2021-09-01,1.49057,13.624675000000003
2021-10-01,2.86724,13.277970000000003
2021-11-01,6.12179,13.149390000000004
2021-12-01,125.01,13.02270416666667
2022-01-01,4.80147,13.020832500000003
2022-02-01,3.959,12.898823333333338
2022-03-01,2.637,13.136010000000004
2022-04-01,1.3965,13.867073333333337
2022-05-01,3.67608,14.91649916666667
2022-06-01,0,10.33367416666667
2022-07-01,1.53107,15.280635000000004
2022-08-01,1.29516,19.416285000000002
2022-09-01,4.33681,21.706126666666666
2022-10-01,11.64,22.960251666666668
2022-11-01,18.7149,23.18606916666667
2022-12-01,70.0161,23.297315
2023-01-01,64.165,23.297892500000003
2023-02-01,53.5868,23.297892500000003
2023-03-01,30.1151,23.297892500000003
2023-04-01,16.446,23.297892500000003
2023-05-01,6.38589,23.297892500000003
2023-06-01,1.33495,23.297892500000003
2023-07-01,1.538,23.297892500000003
